variable,source_module,label
SEQN,DEMO_J,Unique participant identifier
SDDSRVYR,,
RIDSTATR,,
RIAGENDR,DEMO_J,"Sex (1=Male, 2=Female)"
RIDAGEYR,DEMO_J,Age in years at screening
RIDAGEMN,,
RIDRETH1,,
RIDRETH3,DEMO_J,"Race/Ethnicity (1=Mexican American, 3=NHWhite, 4=NHBlack, 6=NHAsian)"
RIDEXMON,,
RIDEXAGM,,
DMQMILIZ,,
DMQADFC,,
DMDBORN4,,
DMDCITZN,,
DMDYRSUS,,
DMDEDUC3,,
DMDEDUC2,,
DMDMARTL,,
RIDEXPRG,,
SIALANG,,
SIAPROXY,,
SIAINTRP,,
FIALANG,,
FIAPROXY,,
FIAINTRP,,
MIALANG,,
MIAPROXY,,
MIAINTRP,,
AIALANGA,,
DMDHHSIZ,,
DMDFMSIZ,,
DMDHHSZA,,
DMDHHSZB,,
DMDHHSZE,,
DMDHRGND,,
DMDHRAGZ,,
DMDHREDZ,,
DMDHRMAZ,,
DMDHSEDZ,,
WTINT2YR,,
WTMEC2YR,DEMO_J,2-year MEC exam sample weight
SDMVPSU,DEMO_J,Masked variance pseudo-PSU
SDMVSTRA,DEMO_J,Masked variance pseudo-stratum
INDHHIN2,,
INDFMIN2,,
INDFMPIR,DEMO_J,Family poverty-income ratio
BMDSTATS,,
BMXWT,,
BMIWT,,
BMXRECUM,,
BMIRECUM,,
BMXHEAD,,
BMIHEAD,,
BMXHT,,
BMIHT,,
BMXBMI,BMX_J,Body mass index (kg/m²)
BMXLEG,,
BMILEG,,
BMXARML,,
BMIARML,,
BMXARMC,,
BMIARMC,,
BMXWAIST,BMX_J,Waist circumference (cm)
BMIWAIST,,
BMXHIP,,
BMIHIP,,
LBXSATSI,BIOPRO_J,Alanine aminotransferase / ALT (U/L)
LBDSATLC,,
LBXSAL,BIOPRO_J,Albumin (g/dL)
LBDSALSI,,
LBXSAPSI,BIOPRO_J,Alkaline phosphatase / ALP (U/L)
LBXSASSI,BIOPRO_J,Aspartate aminotransferase / AST (U/L)
LBXSC3SI,,
LBXSBU,,
LBDSBUSI,,
LBXSCLSI,,
LBXSCK,,
LBXSCR,,
LBDSCRSI,,
LBXSGB,,
LBDSGBSI,,
LBXSGL,BIOPRO_J,Glucose (mg/dL)
LBDSGLSI,,
LBXSGTSI,,
LBDSGTLC,,
LBXSIR,,
LBDSIRSI,,
LBXSLDSI,,
LBXSOSSI,,
LBXSPH,,
LBDSPHSI,,
LBXSKSI,,
LBXSNASI,,
LBXSTB,BIOPRO_J,Total bilirubin (mg/dL)
LBDSTBSI,,
LBDSTBLC,,
LBXSCA,,
LBDSCASI,,
LBXSCH,,
LBDSCHSI,,
LBXSTP,,
LBDSTPSI,,
LBXSTR,BIOPRO_J,Triglycerides (mg/dL)
LBDSTRSI,,
