Variable,Label,N non-null,Missing %,Mean,Median,Std,Min,Max,% = 1 (if binary)
RIDAGEYR,Age (years),3543,0.0,52.613,55.0,18.481,18.0,80.0,
RIAGENDR,Sex (1=Male 2=Female),3543,0.0,1.514,2.0,0.5,1.0,2.0,
RIDRETH3,Race/Ethnicity,3543,0.0,3.359,3.0,1.627,1.0,7.0,
INDFMPIR,Poverty-Income Ratio,3080,13.1,2.517,2.08,1.585,0.0,5.0,
BMXBMI,BMI (kg/m²),3483,1.7,30.23,29.0,7.459,14.8,86.2,
BMXWAIST,Waist Circumference (cm),3348,5.5,101.863,100.8,17.059,56.4,166.0,
LBXSATSI,ALT (U/L)  ← outcome variable,3543,0.0,21.509,17.0,15.093,3.0,213.0,
LBXSASSI,AST (U/L),3531,0.3,21.324,19.0,11.173,6.0,182.0,
LBXSAPSI,ALP (U/L),3543,0.0,81.048,77.0,26.979,16.0,347.0,
LBXSTB,Total Bilirubin (mg/dL),3543,0.0,0.462,0.4,0.278,0.1,3.0,
LBXSAL,Albumin (g/dL),3543,0.0,4.036,4.0,0.337,2.4,5.4,
LBXSGL,Glucose (mg/dL),3541,0.1,104.922,94.0,39.729,47.0,626.0,
LBXBPB,Blood Lead (µg/dL),3540,0.1,1.249,0.94,1.446,0.05,42.48,
LBXBCD,Blood Cadmium (µg/L),3540,0.1,0.46,0.3,0.555,0.07,13.03,
LBXTHG,Blood Mercury (µg/L),3540,0.1,1.329,0.665,2.484,0.2,63.64,
ALQ121,Drinking Frequency (0=Never…1=Every day),2951,16.7,4.961,6.0,3.654,0.0,10.0,
ALQ130,Avg Drinks/Day,2159,39.1,2.235,2.0,1.847,1.0,15.0,
DIQ010,Diabetes Diagnosis (1=Yes 2=No 3=Borderline),3540,0.1,1.855,2.0,0.437,1.0,3.0,
SMQ020,Ever Smoked 100+ Cigarettes (1=Yes 2=No),3543,0.0,1.595,2.0,0.491,1.0,2.0,
ALT_elevated,Elevated ALT — PRIMARY OUTCOME (1=Yes 0=No),3543,0.0,0.054,0.0,0.226,0.0,1.0,5.4
ALT_elevated_40,Elevated ALT >40 U/L — sensitivity outcome,3543,0.0,0.077,0.0,0.266,0.0,1.0,7.7
