feature,label,mean_abs_shap,cohort,rank
LBXSASSI,AST,1.9597547,2017-2018,1
LBXSGTSI,GGT,0.4677943,2017-2018,2
RIDAGEYR,Age,0.42643216,2017-2018,3
BMXBMI,BMI,0.1389691,2017-2018,4
LBXSTR,Triglycerides,0.116261505,2017-2018,5
BMXWAIST,Waist circumference,0.10775611,2017-2018,6
LBXSGL,Glucose,0.08657361,2017-2018,7
LBXSAL,Albumin,0.08459211,2017-2018,8
LBXSGB,Globulin,0.08288679,2017-2018,9
LBXSCK,Creatine kinase,0.0770768,2017-2018,10
LBXSIR,Iron,0.07561961,2017-2018,11
log_mercury,log(Blood Mercury),0.06546109,2017-2018,12
LBXSCR,Creatinine,0.065176636,2017-2018,13
INDFMPIR,Poverty-income ratio,0.051973637,2017-2018,14
ALQ121,Drinking frequency,0.049724665,2017-2018,15
LBXSCA,Calcium,0.045257557,2017-2018,16
LBXSUA,Uric acid,0.03907017,2017-2018,17
LBXSCH,Cholesterol,0.029762454,2017-2018,18
log_cadmium,log(Blood Cadmium),0.024429547,2017-2018,19
log_lead,log(Blood Lead),0.022904912,2017-2018,20
LBXSTP,Total protein,0.015532071,2017-2018,21
LBXSAPSI,ALP,0.01412926,2017-2018,22
ever_smoker,Ever smoker,0.012443797,2017-2018,23
LBXSOSSI,Osmolality,0.009034996,2017-2018,24
LBXSCLSI,Chloride,0.00885151,2017-2018,25
LBXSC3SI,Bicarbonate,0.0060042213,2017-2018,26
LBXSPH,Phosphorus,0.0058375997,2017-2018,27
LBXSBU,BUN,0.005423883,2017-2018,28
LBXSTB,Total bilirubin,0.0035146163,2017-2018,29
diabetes,Diabetes,0.0,2017-2018,30
sex_male,Male sex,0.0,2017-2018,31
