variable,label,OR_2017,CI_low_2017,CI_high_2017,p_2017,n_2017,events_2017,OR_2021,CI_low_2021,CI_high_2021,p_2021,n_2021,events_2021,sig_2017,sig_2021,OR_change
BMXWAIST,Waist circumference (cm),1.027,1.009,1.044,0.0115,2923,234,1.018,1.006,1.029,0.012,3256,222,✓,✓,-0.009
INDFMPIR,Poverty-income ratio,1.015,0.864,1.192,0.8226,2923,234,1.015,0.85,1.214,0.8344,3256,222,,,0.0
RIDAGEYR,Age (years),0.96,0.939,0.982,0.0052,2923,234,0.979,0.962,0.995,0.0219,3256,222,✓,✓,0.019
diabetes,Diabetes,1.975,0.922,4.232,0.07,2923,234,0.898,0.412,1.959,0.7376,3256,222,,,-1.077
ever_smoker,Ever smoker,0.641,0.376,1.095,0.086,2923,234,0.54,0.259,1.127,0.0841,3256,222,,,-0.101
log_cadmium,log(Blood Cadmium),0.937,0.661,1.328,0.6507,2923,234,1.169,0.926,1.475,0.1448,3256,222,,,0.232
log_lead,log(Blood Lead),1.373,0.837,2.252,0.1601,2923,234,0.98,0.626,1.533,0.9111,3256,222,,,-0.393
log_mercury,log(Blood Mercury),1.042,0.887,1.223,0.5416,2923,234,1.097,0.898,1.339,0.2881,3256,222,,,0.055
log_triglycerides,Triglycerides (log),1.773,1.16,2.71,0.0179,2923,234,1.967,1.23,3.146,0.014,3256,222,✓,✓,0.194
sex_male,Male sex,2.025,0.937,4.377,0.0654,2923,234,2.93,2.047,4.195,0.0006,3256,222,,✓,0.905
