feature,label,shap_2017,rank_2017,shap_2021,rank_2021,rank_change
LBXSASSI,AST,1.9597547,1,2.2169778,1,0
LBXSGTSI,GGT,0.4677943,2,0.6150662,2,0
RIDAGEYR,Age,0.42643216,3,0.28211188,3,0
BMXBMI,BMI,0.1389691,4,0.1278952,4,0
LBXSTR,Triglycerides,0.116261505,5,0.08659868,8,-3
BMXWAIST,Waist circumference,0.10775611,6,0.022517448,21,-15
LBXSGL,Glucose,0.08657361,7,0.06904758,10,-3
LBXSAL,Albumin,0.08459211,8,0.02699136,18,-10
LBXSGB,Globulin,0.08288679,9,0.017918745,22,-13
LBXSCK,Creatine kinase,0.0770768,10,0.09504165,5,5
LBXSIR,Iron,0.07561961,11,0.087953955,7,4
log_mercury,log(Blood Mercury),0.06546109,12,0.02606104,19,-7
LBXSCR,Creatinine,0.065176636,13,0.057161834,11,2
INDFMPIR,Poverty-income ratio,0.051973637,14,0.07255307,9,5
ALQ121,Drinking frequency,0.049724665,15,0.009401637,27,-12
LBXSCA,Calcium,0.045257557,16,0.0050107734,29,-13
LBXSUA,Uric acid,0.03907017,17,0.027631737,16,1
LBXSCH,Cholesterol,0.029762454,18,0.04250445,13,5
log_cadmium,log(Blood Cadmium),0.024429547,19,0.093310356,6,13
log_lead,log(Blood Lead),0.022904912,20,0.051077317,12,8
LBXSTP,Total protein,0.015532071,21,0.025007809,20,1
LBXSAPSI,ALP,0.01412926,22,0.030316567,15,7
ever_smoker,Ever smoker,0.012443797,23,0.015704008,23,0
LBXSOSSI,Osmolality,0.009034996,24,0.0047034174,30,-6
LBXSCLSI,Chloride,0.00885151,25,0.005264046,28,-3
LBXSC3SI,Bicarbonate,0.0060042213,26,0.011335279,25,1
LBXSPH,Phosphorus,0.0058375997,27,0.011676285,24,3
LBXSBU,BUN,0.005423883,28,0.011065971,26,2
LBXSTB,Total bilirubin,0.0035146163,29,0.027122917,17,12
diabetes,Diabetes,0.0,30,0.0,31,-1
sex_male,Male sex,0.0,31,0.030886728,14,17
