feature,label,mean_abs_shap,cohort,rank
LBXSASSI,AST,2.2169778,2021-2023,1
LBXSGTSI,GGT,0.6150662,2021-2023,2
RIDAGEYR,Age,0.28211188,2021-2023,3
BMXBMI,BMI,0.1278952,2021-2023,4
LBXSCK,Creatine kinase,0.09504165,2021-2023,5
log_cadmium,log(Blood Cadmium),0.093310356,2021-2023,6
LBXSIR,Iron,0.087953955,2021-2023,7
LBXSTR,Triglycerides,0.08659868,2021-2023,8
INDFMPIR,Poverty-income ratio,0.07255307,2021-2023,9
LBXSGL,Glucose,0.06904758,2021-2023,10
LBXSCR,Creatinine,0.057161834,2021-2023,11
log_lead,log(Blood Lead),0.051077317,2021-2023,12
LBXSCH,Cholesterol,0.04250445,2021-2023,13
sex_male,Male sex,0.030886728,2021-2023,14
LBXSAPSI,ALP,0.030316567,2021-2023,15
LBXSUA,Uric acid,0.027631737,2021-2023,16
LBXSTB,Total bilirubin,0.027122917,2021-2023,17
LBXSAL,Albumin,0.02699136,2021-2023,18
log_mercury,log(Blood Mercury),0.02606104,2021-2023,19
LBXSTP,Total protein,0.025007809,2021-2023,20
BMXWAIST,Waist circumference,0.022517448,2021-2023,21
LBXSGB,Globulin,0.017918745,2021-2023,22
ever_smoker,Ever smoker,0.015704008,2021-2023,23
LBXSPH,Phosphorus,0.011676285,2021-2023,24
LBXSC3SI,Bicarbonate,0.011335279,2021-2023,25
LBXSBU,BUN,0.011065971,2021-2023,26
ALQ121,Drinking frequency,0.009401637,2021-2023,27
LBXSCLSI,Chloride,0.005264046,2021-2023,28
LBXSCA,Calcium,0.0050107734,2021-2023,29
LBXSOSSI,Osmolality,0.0047034174,2021-2023,30
diabetes,Diabetes,0.0,2021-2023,31
